Season,Spieltag,Future,Rank,Team,Spiele,G,U,V,Tore,Goal_Diff,Points
2023,1,False,1,FC Lugano,1,1,0,0,3:0,3,3
2023,1,False,2,Servette FC,1,1,0,0,3:1,2,3
2023,1,False,3,FC Zürich,1,1,0,0,2:0,2,3
2023,1,False,4,BSC Young Boys,1,1,0,0,2:1,1,3
2023,1,False,4,FC St. Gallen,1,1,0,0,2:1,1,3
2023,1,False,6,FC Winterthur,1,0,1,0,0:0,0,1
2023,2,False,1,FC Lugano,2,2,0,0,4:0,4,6
2023,2,False,2,Servette FC,2,1,1,0,5:3,2,4
2023,2,False,3,FC Zürich,2,1,1,0,4:2,2,4
2023,2,False,4,BSC Young Boys,2,1,1,0,4:3,1,4
2023,2,False,5,FC St. Gallen,2,1,0,1,2:2,0,3
2023,2,False,6,FC Winterthur,2,0,1,1,2:5,-3,1
2023,3,False,1,FC Zürich,3,2,1,0,7:2,5,7
2023,3,False,2,BSC Young Boys,3,2,1,0,9:5,4,7
2023,3,False,3,FC Lugano,3,2,0,1,4:3,1,6
2023,3,False,4,FC St. Gallen,3,2,0,1,4:3,1,6
2023,3,False,5,Servette FC,3,1,2,0,6:4,2,5
2023,3,False,6,FC Winterthur,3,0,1,2,4:10,-6,1
2023,4,False,1,FC Zürich,4,3,1,0,10:2,8,10
2023,4,False,2,FC Lugano,4,3,0,1,10:4,6,9
2023,4,False,3,BSC Young Boys,4,2,2,0,10:6,4,8
2023,4,False,4,FC St. Gallen,4,2,1,1,5:4,1,7
2023,4,False,5,Servette FC,4,1,3,0,7:5,2,6
2023,4,False,6,FC Winterthur,4,1,1,2,7:11,-4,4
2023,5,False,1,FC Zürich,5,3,2,0,11:3,8,11
2023,5,False,2,BSC Young Boys,5,3,2,0,11:6,5,11
2023,5,False,3,FC Lugano,5,3,0,2,11:7,4,9
2023,5,False,4,FC St. Gallen,5,2,2,1,6:5,1,8
2023,5,False,5,FC Winterthur,5,2,1,2,12:13,-1,7
2023,5,False,6,Servette FC,5,1,3,1,8:9,-1,6
