Season,Spieltag,date,time,home_rank,home_team,home_goals,away_goals,away_rank,away_team
2024,1,20.07.2024,18:00,3,Lugano,2,1,10,GCZ
2024,1,20.07.2024,18:00,12,YS FC,0,2,1,FCZ
2024,1,20.07.2024,20:30,6,FCW,1,0,11,FCSG
2024,1,21.07.2024,14:15,8,BSC YB,1,2,5,Sion
2024,1,21.07.2024,16:30,2,LS,3,2,7,FCB
2024,1,21.07.2024,16:30,9,FCL,1,2,4,SFC
2024,2,27.07.2024,18:00,9,GCZ,2,2,8,FCL
2024,2,27.07.2024,18:00,1,Sion,4,0,7,LS
2024,2,27.07.2024,20:30,10,FCB,1,2,4,Lugano
2024,2,28.07.2024,14:15,3,SFC,3,2,11,YS FC
2024,2,28.07.2024,16:30,5,FCSG,4,0,12,BSC YB
2024,2,28.07.2024,16:30,2,FCZ,4,2,6,FCW
2024,3,03.08.2024,18:00,11,GCZ,0,3,8,FCB
2024,3,03.08.2024,18:00,1,Lugano,3,1,5,SFC
2024,3,03.08.2024,20:30,6,FCL,1,0,4,Sion
2024,3,04.08.2024,14:15,9,LS,3,4,3,FCSG
2024,3,04.08.2024,16:30,7,FCW,0,0,10,YS FC
2024,3,04.08.2024,16:30,12,BSC YB,2,2,2,FCZ
2024,4,10.08.2024,18:00,2,Sion,2,0,8,FCW
2024,4,10.08.2024,20:30,10,YS FC,2,2,11,BSC YB
2024,4,11.08.2024,14:15,3,FCSG,1,0,12,GCZ
2024,4,11.08.2024,16:30,4,Lugano,2,3,5,FCL
2024,4,11.08.2024,16:30,7,SFC,0,6,6,FCB
2024,4,11.08.2024,16:30,1,FCZ,2,0,9,LS
2024,5,24.07.2024,20:30,7,SFC,3,1,12,BSC YB
2024,5,24.08.2024,18:00,3,FCL,3,0,9,FCW
2024,5,24.08.2024,20:30,8,GCZ,3,1,6,Sion
2024,5,25.08.2024,16:30,5,FCB,2,0,11,YS FC
2024,5,18.09.2024,19:30,10,LS,1,2,2,Lugano
2024,5,24.09.2024,20:30,1,FCSG,4,1,4,FCZ
2024,6,31.08.2024,18:00,7,Sion,1,1,6,FCB
2024,6,31.08.2024,18:00,8,YS FC,2,1,9,GCZ
2024,6,31.08.2024,20:30,12,BSC YB,1,1,10,LS
2024,6,01.09.2024,14:15,11,FCW,0,1,3,SFC
2024,6,01.09.2024,16:30,2,Lugano,1,1,1,FCSG
2024,6,01.09.2024,16:30,5,FCZ,1,1,4,FCL
2024,7,21.09.2024,18:00,10,GCZ,2,2,5,SFC
2024,7,21.09.2024,18:00,4,FCSG,2,3,1,FCL
2024,7,21.09.2024,20:30,7,FCB,0,2,2,FCZ
2024,7,22.09.2024,14:15,8,LS,3,1,11,YS FC
2024,7,22.09.2024,16:30,6,Sion,0,0,3,Lugano
2024,7,22.09.2024,16:30,12,FCW,1,4,9,BSC YB
2024,8,28.09.2024,18:00,9,YS FC,1,0,5,FCSG
2024,8,28.09.2024,18:00,4,SFC,1,0,10,LS
2024,8,28.09.2024,20:30,11,BSC YB,0,1,8,GCZ
2024,8,29.09.2024,14:15,2,FCZ,1,0,6,Sion
2024,8,29.09.2024,16:30,1,FCL,1,0,7,FCB
2024,8,29.09.2024,16:30,3,Lugano,2,1,12,FCW
2024,9,05.10.2024,18:00,1,FCL,2,2,10,LS
2024,9,05.10.2024,18:00,7,Sion,1,1,8,YS FC
2024,9,05.10.2024,20:30,11,FCW,1,0,9,GCZ
2024,9,06.10.2024,14:15,2,FCZ,1,1,3,Lugano
2024,9,06.10.2024,16:30,6,FCB,1,0,12,BSC YB
2024,9,06.10.2024,16:30,5,FCSG,1,1,4,SFC
2024,10,19.10.2024,18:00,11,GCZ,1,2,1,FCZ
2024,10,19.10.2024,18:00,10,BSC YB,2,1,3,FCL
2024,10,19.10.2024,20:30,2,SFC,3,0,7,Sion
2024,10,20.10.2024,16:30,5,FCB,2,1,6,FCSG
2024,10,20.10.2024,16:30,9,LS,2,0,12,FCW
2024,10,20.10.2024,16:30,8,YS FC,2,0,4,Lugano
2024,11,26.10.2024,18:00,8,LS,3,0,11,GCZ
2024,11,26.10.2024,18:00,12,FCW,1,6,4,FCB
2024,11,26.10.2024,20:30,5,FCL,2,3,7,YS FC
2024,11,27.10.2024,14:15,9,Sion,2,2,6,FCSG
2024,11,27.10.2024,16:30,3,Lugano,2,0,10,BSC YB
2024,11,27.10.2024,16:30,2,FCZ,1,3,1,SFC
2024,12,29.10.2024,20:30,8,YS FC,0,3,6,LS
2024,12,30.10.2024,20:30,9,Sion,0,2,1,FCZ
2024,12,30.10.2024,20:30,7,FCSG,2,2,12,FCW
2024,12,30.10.2024,20:30,10,BSC YB,3,2,4,FCB
2024,12,31.10.2024,20:30,11,GCZ,1,1,3,Lugano
2024,12,31.10.2024,20:30,2,SFC,2,2,5,FCL
2024,13,02.11.2024,18:00,4,FCB,5,0,12,FCW
2024,13,02.11.2024,18:00,1,FCZ,0,0,10,BSC YB
2024,13,02.11.2024,20:30,7,FCSG,1,1,9,Sion
2024,13,03.11.2024,14:15,6,LS,1,0,3,SFC
2024,13,03.11.2024,16:30,2,Lugano,2,0,8,YS FC
2024,13,03.11.2024,16:30,5,FCL,2,0,11,GCZ
2024,14,09.11.2024,18:00,11,FCW,1,0,7,LS
2024,14,09.11.2024,18:00,10,YS FC,1,4,2,FCB
2024,14,09.11.2024,20:30,4,SFC,1,1,1,FCZ
2024,14,10.11.2024,14:15,8,Sion,4,2,5,FCL
2024,14,10.11.2024,16:30,12,GCZ,1,2,6,FCSG
2024,14,10.11.2024,16:30,9,BSC YB,2,1,3,Lugano
2024,15,23.11.2024,18:00,12,GCZ,1,1,11,FCW
2024,15,23.11.2024,18:00,5,FCL,1,1,9,BSC YB
2024,15,23.11.2024,20:30,6,LS,1,0,8,Sion
